"Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College"
42,"Alexis Ajinca","C",2.19,112.49,1988-05-06,"FR",5,NA
33,"Ryan Anderson","PF",1.86,108.86,1988-05-06,"US",7,"University of California"
3,"Omer Asik","C",2.13,115.67,1986-07-04,"TR",5,NA
8,"Luke Babbitt","SF",2.1,102.06,1989-06-20,"US",5,"University of Nevada, Reno"
30,"Norris Cole","PG",1.89,79.38,1988-10-13,"US",4,"Cleveland State University"
44,"Dante Cunningham","SF",2.07,104.33,1987-04-22,"US",6,"Villanova University"
23,"Anthony Davis","PF",1.86,114.76,1993-03-11,"US",3,"University of Kentucky"
31,"Bryce Dejean-Jones","SG",2.01,94.8,1992-08-21,"US",0,"Iowa State University"
16,"Toney Douglas","PG",1.89,88.45,1986-03-16,"US",6,"Florida State University"
4,"James Ennis","SF",2.04,95.25,1990-07-01,"US",1,"California State University, Long Beach"
1,"Tyreke Evans","SG",2.01,99.79,1989-09-19,"US",6,"University of Memphis"
2,"Tim Frazier","PG",1.86,77.11,1990-11-01,"US",1,"Pennsylvania State University"
32,"Jimmer Fredette","SG",1.89,88.45,1989-02-25,"US",4,"Brigham Young University"
15,"Alonzo Gee","SF",2.01,102.06,1987-05-29,"US",6,"University of Alabama"
10,"Eric Gordon","SG",1.95,97.52,1988-12-25,"US",7,"Indiana University"
25,"Jordan Hamilton","SF",2.04,99.79,1990-10-06,"US",4,"University of Texas at Austin"
11,"Jrue Holiday","PG",1.95,92.99,1990-06-12,"US",6,"University of California, Los Angeles"
0,"Orlando Johnson","SG",1.98,99.79,1989-03-11,"US",2,"University of California, Santa Barbara"
5,"Kendrick Perkins","C",1.86,122.47,1984-11-10,"US",12,NA
2,"Nate Robinson","PG",1.8,81.65,1984-05-31,"US",10,"University of Washington"
4,"Ish Smith","PG",1.83,79.38,1988-07-05,"US",5,"Wake Forest University"
