"","Team","total","minimum","maximum","first_quartile","median","third_quartile","average","iqr","standard_deviation"
"1","ATL",71500734,525093,1.9e+07,1152260,2433333,6873239.5,4766715.6,5720979.5,5198642.39740389
"2","BOS",72967671,1148640,15493680,1994760,3425510,6456434.5,4864511.4,4461674.5,4200252.5002884
"3","BRK",76884153,845059,24894863,1095435.75,1500000,5581377.5,5491725.21428571,4485941.75,7788816.9137399
"4","CHI",82808598,525090,20093063,1427340,2625220,8237190,5914899.85714286,6809850,6257547.44778849
"5","CHO",69278397,525093,13833333,1426080,2944648,6635931.25,4948456.92857143,5209851.25,4576507.33527267
"6","CLE",85692111,845059,22971000,1300000,2100000,9638554,6591700.84615385,8338554,7650839.48982829
"7","DAL",87969052,525093,16400000,1270964,4e+06,5500000,5174650.11764706,4229036,5048941.09942387
"8","DEN",55737343,800321,1.4e+07,1521260.25,2834470,4192500,3981238.78571429,2671239.75,3928341.56886528
"9","DET",58968868,525093,1.4e+07,2252848.75,2945880,5952500,4212062,3699651.25,3576174.74628559
"10","GSW",92116662,845059,15500000,2131561,4708561.5,11625538.5,6579761.57142857,9493977.5,5293152.7345375
"11","HOU",85810497,1e+06,22359364,1499187,3333333,8200000,6600807.46153846,6700813,6698838.06449235
"12","IND",69421030,845000,17120106,1608600,4e+06,6125000,4958645,4516400,4481043.28754427
"13","LAC",99270933,981348,21468696,1327973,4400000,8466750,7090780.92857143,7138777,7404197.78672648
"14","LAL",72230125,525093,2.5e+07,913203.5,1724250,5161144.5,4815341.66666667,4247941,6804634.88454589
"15","MEM",83156412,845059,19700000,1264714.75,4194045.5,6556250,5197275.75,5291535.25,4953443.34579387
"16","MIA",95526938,525093,22192730,1262337,2668330,6695696.75,5970433.625,5433359.75,7041213.8334262
"17","MIL",69753414,845059,16400000,1697700,2399040,5876220,4650227.6,4178520,4955555.53133286
"18","MIN",56460794,1149500,12365000,1499187,2102640,5744910,4032913.85714286,4245723,3414584.40908598
"19","NOP",66819928,6e+05,15514031,1164858,3e+06,8500000,5139994.46153846,7335142,4903294.24903196
"20","NYK",74778156,845059,22875000,1591770,3275000,6777109,5341296.85714286,5185339,6113183.91429467
"21","OKC",96509670,1210800,20158622,2459280,3750000,10472107.5,6893547.85714286,8012827.5,6522536.29601508
"22","ORL",67724555,845059,1.6e+07,2311302.25,3956580,5144390,4837468.21428571,2833087.75,4280798.23734315
"23","PHI",18497474,525093,4582680,845059,947276,1504860,1541456.16666667,659801,1326982.20289359
"24","PHO",72402403,845059,13086957,1634660.25,3303560,7375000,5171600.21428571,5740339.75,4563558.97364106
"25","POR",45652240,525093,7500000,896167.5,2637720,4618143.5,3043482.66666667,3721976,2403379.50878917
"26","SAC",70322008,845059,14728844,1136362.5,3277440,7208333.25,5023000.57142857,6071970.75,4520557.54540618
"27","SAS",86143072,525093,19500000,1349500,2814000,8500000,5742871.46666667,7150500,6232097.98338713
"28","TOR",75105710,650000,13500000,1762500,3276958.5,6451506.25,4694106.875,4689006.25,3945280.0030573
"29","UTA",57777430,845059,15409570,1043970,2244900,4331250,4126959.28571429,3287280,4657698.53885601
"30","WAS",71868282,1100602,15851950,2100000,4250000,5694674,5528329.38461538,3594674,4753132.45056231
